Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"common.UtilKeyword.waitForPageLoadAndDelay(20, 3)",Chrome 131.0.0.0,,,02-01-2025 21:19:54,02-01-2025 21:19:57,3.071s,PASSED
addedProduct = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,Verify the product that selected with first option is added in cart,,02-01-2025 21:19:57,02-01-2025 21:19:57,0.005s,PASSED
"addedProduct.addProperty(""xpath"", EQUALS, ""//*[*[text()='"" + selectedFirstOption.get(""name"") + ""']]/following-sibling::div"")",Chrome 131.0.0.0,,,02-01-2025 21:19:57,02-01-2025 21:19:57,0.002s,PASSED
verifyElementVisible(addedProduct),Chrome 131.0.0.0,,,02-01-2025 21:19:57,02-01-2025 21:19:57,0.070s,PASSED
logInfo(getText(addedProduct)),Chrome 131.0.0.0,,,02-01-2025 21:19:57,02-01-2025 21:19:57,0.081s,PASSED
"if (getText(addedProduct).contains(selectedFirstOption.get(""color"") + "" / "" + selectedFirstOption.get(""size"")))",Chrome 131.0.0.0,,,02-01-2025 21:19:57,02-01-2025 21:19:57,0.053s,PASSED
"addedProduct.addProperty(""xpath"", EQUALS, ""(//*[*[text()='"" + selectedSecondOption.get(""name"") + ""']]/following-sibling::div)[2]"")",Chrome 131.0.0.0,Verify the product that selected with second option is added in cart,,02-01-2025 21:19:57,02-01-2025 21:19:57,0.000s,PASSED
verifyElementVisible(addedProduct),Chrome 131.0.0.0,,,02-01-2025 21:19:57,02-01-2025 21:19:57,0.463s,PASSED
logInfo(getText(addedProduct)),Chrome 131.0.0.0,,,02-01-2025 21:19:57,02-01-2025 21:19:57,0.038s,PASSED
"if (getText(addedProduct).contains(selectedSecondOption.get(""color"") + "" / "" + selectedSecondOption.get(""size"")))",Chrome 131.0.0.0,,,02-01-2025 21:19:57,02-01-2025 21:19:58,0.252s,PASSED
product.ProductDetail.removeAllProductFromCart(),Chrome 131.0.0.0,Remove all products in cart,,02-01-2025 21:19:58,02-01-2025 21:20:04,6.777s,PASSED
common.UtilKeyword.logOutAndClose(),Chrome 131.0.0.0,Logout and close browser,,02-01-2025 21:20:04,02-01-2025 21:20:13,8.791s,PASSED
,,,,,,,
Test Cases/COOLMATE-004/TC004-Add product to cart from product detail page with many options,Chrome 131.0.0.0,,,02-01-2025 21:20:13,02-01-2025 21:21:55,1m - 41.480s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,02-01-2025 21:20:13,02-01-2025 21:20:13,0.002s,PASSED
"common.UtilKeyword.openURLAndAuthenticate(username_bao, password_bao)",Chrome 131.0.0.0,Go to Coolmate website and authenticate,,02-01-2025 21:20:13,02-01-2025 21:20:54,40.788s,PASSED
